Time_gap_onramp,Distance_gap_upcoming_vehicle,Time_gap_upcoming_vehicle,Is_gap_accepted,Response_time,Participant_no,Dwell_to_mirror
4,20,4,0,1425,16,0.571428571428571
4,20,4,0,1407,16,0.571428571428571
4,20,4,0,1209,16,0.5
4,20,4,0,1647,16,0.53125
4,20,4,0,1351,16,0.62962962962963
4,20,4,0,1463,16,0.517241379310345
4,20,4,0,1863,16,0.486486486486487
4,20,4,0,1063,16,0.571428571428571
4,20,4,0,1327,16,0.653846153846154
4,20,4,0,1315,16,0.615384615384615
4,20,4,0,1862,16,0.513513513513513
4,20,4,0,1118,16,0.5
4,20,4,0,1345,16,0.423076923076923
4,20,4,0,1846,16,0.555555555555556
4,20,4,0,1131,16,0.727272727272727
4,20,4,0,1703,16,0.558823529411765
4,20,4,0,1460,16,0.758620689655172
4,20,4,0,1410,17,0.5
4,20,4,0,1675,17,0.757575757575758
4,20,4,0,1663,17,0.818181818181818
4,20,4,0,2508,17,0.54
4,20,4,0,1349,17,0.846153846153846
4,20,4,0,1209,17,1
4,20,4,0,1493,17,0.827586206896552
4,20,4,0,2528,17,0.84
4,20,4,0,1165,17,0.91304347826087
4,20,4,0,2012,17,0.8
4,20,4,0,1478,17,0.931034482758621
4,20,4,0,3367,17,0.626865671641791
4,20,4,0,2233,17,0.613636363636364
4,20,4,0,2507,17,0.66
4,20,4,0,1673,17,0.848484848484849
4,20,4,0,1861,17,0.594594594594595
4,20,4,0,2249,17,0.75
4,20,4,0,2750,17,0.745454545454545
4,20,4,0,1429,17,0.785714285714286
4,20,4,0,2131,17,0.738095238095238
4,20,4,0,2028,17,0.875
4,20,4,0,1950,17,0.615384615384615
4,20,4,0,1438,17,0.678571428571429
4,20,4,0,2854,17,0.333333333333333
4,20,4,0,2077,17,0.853658536585366
4,20,4,0,1899,17,0.648648648648649
4,20,4,0,2410,17,0.6875
4,20,4,0,1953,18,0.487179487179487
4,20,4,0,1299,18,0.56
4,20,4,0,1516,18,0.5
4,20,4,0,1900,18,0.368421052631579
4,20,4,0,1839,18,0.444444444444444
4,20,4,0,1484,19,0.689655172413793
4,20,4,0,2639,19,0.884615384615385
4,20,4,0,1757,19,1
4,20,4,0,1954,19,0.974358974358974
4,20,4,0,2488,19,0.836734693877551
4,20,4,0,1218,19,1
4,20,4,0,1339,19,0.923076923076923
4,20,4,0,1308,19,0.961538461538462
4,20,4,0,1953,19,0.897435897435897
4,20,4,0,1273,19,1
4,20,4,0,1633,19,1
4,20,4,0,1438,19,0.75
4,20,4,0,1613,19,1
4,20,4,0,1515,19,0.766666666666667
4,20,4,0,1672,19,1
4,20,4,0,1740,19,0.970588235294118
4,20,4,0,1150,19,1
4,20,4,0,1350,19,1
4,20,4,0,1942,19,1
4,20,4,0,1254,19,0.96
4,20,4,0,1594,19,0.774193548387097
4,20,4,0,1347,19,0.884615384615385
4,20,4,0,1573,19,0.838709677419355
4,20,4,0,1951,19,1
4,20,4,0,1169,19,1
4,20,4,0,2165,19,0.767441860465116
4,20,4,0,1912,19,1
4,20,4,0,1937,19,0.815789473684211
4,20,4,0,1611,19,0.9375
4,20,4,0,1106,19,0.954545454545455
4,20,4,0,1489,20,0.517241379310345
