tta_or_condition,d_condition,tta_condition,is_gap_accepted,RT,subj_id,dwell_time,decision
4,20,4,False,1.596,14,0.516129032258065,Wait
4,20,4,False,1.721,14,0.617647058823529,Wait
4,20,4,False,1.807,14,0.611111111111111,Wait
4,20,4,False,1.855,14,0.756756756756757,Wait
4,20,4,False,2.728,14,0.648148148148148,Wait
4,20,4,False,1.892,14,0.621621621621622,Wait
4,20,4,False,3.106,14,0.693548387096774,Wait
4,20,4,False,3.411,14,0.470588235294118,Wait
4,20,4,False,1.943,14,0.605263157894737,Wait
4,20,4,False,2.042,14,0.75,Wait
4,20,4,False,2.414,14,0.5625,Wait
4,20,4,False,2.516,15,0.8,Wait
4,20,4,False,1.709,15,0.5,Wait
4,20,4,False,1.96,15,0.58974358974359,Wait
4,20,4,False,1.896,15,0.594594594594595,Wait
4,20,4,False,1.563,15,1.0,Wait
4,20,4,False,2.114,15,0.761904761904762,Wait
4,20,4,False,1.755,15,1.0,Wait
4,20,4,False,1.427,15,0.857142857142857,Wait
4,20,4,False,2.215,15,0.840909090909091,Wait
4,20,4,False,1.612,15,0.78125,Wait
4,20,4,False,1.981,15,1.0,Wait
4,20,4,False,2.256,15,1.0,Wait
4,20,4,False,2.592,15,0.803921568627451,Wait
4,20,4,False,1.864,15,0.864864864864865,Wait
4,20,4,False,2.147,15,0.80952380952381,Wait
4,20,4,False,0.993,15,0.842105263157895,Wait
4,20,4,False,2.112,15,0.547619047619048,Wait
4,20,4,False,1.789,15,0.6,Wait
4,20,4,False,1.507,16,0.466666666666667,Wait
4,20,4,False,1.797,16,0.485714285714286,Wait
4,20,4,False,1.448,16,0.535714285714286,Wait
4,20,4,False,1.842,16,0.5,Wait
4,20,4,False,1.477,16,0.517241379310345,Wait
4,20,4,False,1.513,16,0.566666666666667,Wait
4,20,4,False,1.642,16,0.5625,Wait
4,20,4,False,1.506,16,0.6,Wait
4,20,4,False,1.181,16,0.652173913043478,Wait
4,20,4,False,1.425,16,0.571428571428571,Wait
4,20,4,False,1.407,16,0.571428571428571,Wait
4,20,4,False,1.209,16,0.5,Wait
4,20,4,False,1.647,16,0.53125,Wait
4,20,4,False,1.351,16,0.62962962962963,Wait
4,20,4,False,1.463,16,0.517241379310345,Wait
4,20,4,False,1.863,16,0.486486486486487,Wait
4,20,4,False,1.063,16,0.571428571428571,Wait
4,20,4,False,1.327,16,0.653846153846154,Wait
4,20,4,False,1.315,16,0.615384615384615,Wait
4,20,4,False,1.862,16,0.513513513513513,Wait
4,20,4,False,1.118,16,0.5,Wait
4,20,4,False,1.345,16,0.423076923076923,Wait
4,20,4,False,1.846,16,0.555555555555556,Wait
4,20,4,False,1.131,16,0.727272727272727,Wait
4,20,4,False,1.703,16,0.558823529411765,Wait
